time, windspeed, humidity, temperature, status 
00:14,2.16,88,5.94,clear
00:36,2.18,87,5.75,clear
01:05,2.18,88,5.75,clear
01:32,2.13,88,5.8,clear
02:05,2.13,89,5.38,clear
02:32,2.03,90,5.42,clear
03:05,2.03,88,4.83,clear
03:32,2,92,4.45,clear
04:05,1.76,93,4.99,clear
04:32,2.47,94,6.48,clear
05:05,1.99,90,7.97,clear
05:32,3.25,85,10.19,clear
06:06,3.25,76,11.49,clear
06:32,3.74,74,12.6,clear
07:05,0.89,71,13.16,clear
07:32,0.89,64,14.08,clear
08:06,0.89,62,14.66,clear
08:32,0.45,63,15.38,clear
09:05,0.45,55,15.94,clear
09:32,0.45,54,16.67,clear
10:05,0.45,51,16.49,clouds
10:32,0.45,50,17.05,clouds
11:05,3.47,51,16.87,clouds
11:32,0.45,51,17.42,clouds
12:07,0.45,50,17.23,clouds
12:32,1.34,47,17.98,clouds
13:05,0.45,48,17.78,clouds
13:32,0.45,44,17.61,clouds
14:05,0.89,45,18.15,clouds
14:32,0.89,46,18.14,clouds
15:05,0.89,44,17.97,clouds
15:32,4.87,45,17.97,clouds
16:05,0.45,47,17.78,clouds
16:32,3.47,53,17.57,1029,0,0,15,clouds
17:05,0.45,47,17.04,1029,0,0,15,clouds
17:32,2.66,53,16.28,1029,0,0,13,clouds
18:05,2.66,51,15.94,1029,0,0,13,clouds
18:32,2.66,55,15.37,1029,0,0,13,clouds
19:05,2.19,67,12.95,1028,0,0,0,clear
19:32,1.88,69,11.66,1029,0,0,17,clouds
20:06,1.91,79,10.73,1029,0,0,2,clear
20:32,1.94,81,9.81,1029,0,0,1,clear
21:05,1.94,82,9.61,1029,0,0,1,clear
21:32,2.03,70,9.1,1029,0,0,22,clouds
22:05,2.03,87,8.32,1029,0,0,22,clouds
22:32,1.9,87,7.96,1028,0,0,38,clouds
23:05,1.9,89,7.92,1028,0,0,38,clouds
23:32,1.66,89,7.73,1028,0,0,48,clouds
