time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status
2020.05.25,4.6,76,9.88,clear
2020.05.26,4.6,76,14.5,clouds
2020.05.27,3.1,42,19.36,rain
2020.05.28,8.7,67,14.65,1024,0,0,20,rain
2020.05.29,7.2,54,15.85,1024,{'1h': 0.46},0,43,rain
2020.05.30,4.1,47,15.74,1019,{'1h': 0.17},0,17,rain
2020.05.31,3.1,76,12.98,1016,0,0,75,clouds
2020.06.01,5.7,40,21.36,1018,0,0,31,clouds
2020.06.02,5.1,37,19.91,1014,0,0,77,clouds
2020.06.03,7.2,37,21.87,1005,0,0,5,clear
2020.06.04,5.1,53,21.15,998,0,0,20,clouds
2020.06.05,2.1,82,17.86,999,0,0,40,rain
2020.06.06,6.2,53,21.14,1007,0,0,40,clouds
2020.06.07,5.1,60,23.76,1005,0,0,40,rain
2020.06.08,3.6,87,14.33,1013,0,0,90,rain
2020.06.09,8.2,64,20.84,1012,0,0,40,clouds
2020.06.10,3.6,87,15.97,1010,{'1h': 1.44},0,75,rain
2020.06.11,1,60,21.79,1010,0,0,99,clouds
2020.06.12,3.6,57,25.04,1009,0,0,40,clouds
2020.06.13,3.1,42,28.91,1010,{'1h': 0.39},0,5,rain
2020.06.14,5.7,64,22.38,1009,{'1h': 1.27},0,75,rain
2020.06.15,1.5,49,22.32,1012,0,0,40,clouds
2020.06.16,3.6,53,22.69,1013,{'1h': 0.12},0,98,rain
2020.06.17,3.6,68,21.02,1010,0,0,20,clouds
2020.06.18,4.1,93,18.9,1009,{'1h': 1.52},0,90,rain
2020.06.19,5.1,93,16.25,1013,{'1h': 0.76},0,20,rain
2020.06.20,5.1,87,15.68,1013,{'1h': 0.25},0,20,rain
2020.06.21,3.6,88,17.0,1015,0,0,75,clouds
2020.06.22,5.1,53,21.8,1019,0,0,40,clouds
2020.06.23,5.7,43,22.22,1022,0,0,0,clear
2020.06.24,1,82,16.35,1022,{'1h': 2.03},0,90,rain
2020.06.25,3.1,56,23.02,1022,0,0,40,clouds
2020.06.26,5.1,69,22.7,1016,0,0,75,clouds
2020.06.27,2.6,65,26.17,1015,0,0,20,clouds
2020.06.28,3.1,58,28.65,1015,0,0,40,clouds
2020.06.29,0.5,93,18.64,1013,{'1h': 0.77},0,75,rain
2020.06.30,5.1,53,23.67,1013,0,0,0,clear
2020.07.01,4.1,54,27.67,1012,0,0,20,clouds
2020.07.02,4.1,45,28.76,1011,0,0,54,clouds
2020.07.03,4.6,60,23.19,1015,0,0,75,clouds
2020.07.04,1.5,47,25.06,1018,0,0,59,clouds
2020.07.05,3.6,47,26.87,1015,0,0,6,clear
2020.07.06,6.2,48,24.81,1009,0,0,40,clouds
2020.07.07,4.6,45,17.33,1019,0,0,5,clear
2020.07.08,3.6,43,23.03,1016,0,0,82,clouds
2020.07.09,2.6,73,21.0,1018,0,0,75,clouds
2020.07.10,5.1,45,29.94,1013,{'1h': 0.13},0,1,rain
2020.07.11,1,93,14.75,1021,{'1h': 2.29},0,40,rain
2020.07.12,5.1,43,20.55,1025,0,0,11,clouds
2020.07.13,3.1,45,20.82,1023,0,0,20,clouds
2020.07.14,2.6,46,22.22,1017,0,0,93,clouds
2020.07.15,4.1,41,23.6,1013,{'1h': 0.43},0,56,rain
2020.07.16,3.6,64,19.8,1014,{'1h': 4.83},0,40,rain
2020.07.17,5.1,49,18.77,1017,{'1h': 0.76},0,20,rain
2020.07.18,2.1,93,17.03,1016,0,0,90,rain
2020.07.19,2.1,64,23.62,1015,0,0,40,clouds
2020.07.20,3.1,54,27.14,1015,0,0,40,clouds
2020.07.21,3.1,73,23.58,1020,0,0,20,clouds
2020.07.22,2.6,47,24.32,1020,0,0,38,clouds
2020.07.23,1.5,41,26.12,1014,{'1h': 0.63},0,74,rain
2020.07.24,2.6,50,26.29,1011,0,0,20,clouds
2020.07.25,1.5,50,25.25,1014,0,0,20,clouds
2020.07.26,3.1,54,25.55,1013,0,0,20,clouds
2020.07.27,2.6,54,26.07,1018,0,0,40,clouds
2020.07.28,4.1,51,30.85,1013,0,0,20,clouds
2020.07.29,6.7,28,27.22,1018,0,0,32,clouds
2020.07.30,3.6,30,28.56,1020,0,0,12,clouds
2020.07.31,4.1,32,28.7,1016,0,0,20,clouds
2020.08.01,2.6,30,27.44,1016,0,0,1,clear
2020.08.02,4.1,44,25.89,1014,0,0,57,clouds
2020.08.03,3.6,93,17.47,1009,{'1h': 1.9},0,75,rain
2020.08.04,3.6,88,16.59,1009,{'1h': 0.25},0,90,rain
2020.08.05,2.6,63,18.82,1019,0,0,40,clouds
2020.08.06,2.6,61,24.85,1021,0,0,75,clouds
2020.08.07,3.6,31,30.79,1021,0,0,2,clear
2020.08.08,2.6,35,30.55,1020,0,0,0,clear
2020.08.09,5.1,40,30.97,1018,0,0,6,clear
2020.08.10,3.6,48,30.65,1016,0,0,20,clouds
2020.08.11,3.1,48,29.48,1018,0,0,20,clouds
2020.08.12,3.6,42,29.56,1019,0,0,0,clear
2020.08.13,3.6,51,29.27,1015,0,0,8,clear
2020.08.14,3.1,54,27.03,1013,0,0,40,clouds
2020.08.15,1.5,78,22.95,1014,0,0,75,clouds
2020.08.16,2.39,55,26.67,1011,0,0,4,clear
2020.08.17,2.1,73,22.67,1012,0,0,75,clouds
2020.08.18,2.6,83,22.01,1010,0,0,75,clouds
2020.08.19,2.1,56,24.29,1010,0,0,40,clouds
2020.08.20,2.1,50,27.13,1014,0,0,47,clouds
2020.08.21,4.1,48,28.07,1016,0,0,0,clear
2020.08.22,3.6,55,29.83,1015,0,0,20,clouds
2020.08.23,5.1,44,25.33,1016,0,0,40,clouds
2020.08.24,2.1,41,24.81,1016,0,0,18,clouds
2020.08.25,3.1,43,22.68,1015,0,0,2,clear
2020.08.26,10.8,37,27.86,1008,0,0,48,clouds
2020.08.27,5.1,46,21.94,1015,0,0,82,clouds
2020.08.28,4.1,41,25.53,1009,0,0,19,clouds
2020.08.29,1.5,56,22.1,1009,0,0,20,clouds
2020.08.30,3.6,73,25.09,1005,0,0,20,clouds
2020.08.31,5.7,59,19.28,1016,0,0,75,clouds
2020.09.01,6.7,82,13.89,1010,0,0,40,clouds
2020.09.02,2.6,48,18.63,1017,0,0,75,clouds
2020.09.03,1.5,52,21.59,1022,0,0,20,clouds
2020.09.04,2.6,60,23.16,1025,0,0,20,clouds
2020.09.05,4.6,57,25.98,1017,0,0,24,clouds
2020.09.06,1,77,18.22,1018,0,0,40,clouds
2020.09.07,2.6,59,19.97,1022,0,0,40,clouds
2020.09.08,2.6,52,21.44,1028,0,0,20,clouds
2020.09.09,3.1,53,22.81,1024,0,0,0,clear
2020.09.10,2.63,90,22.64,996,0,0,100,clouds
2020.09.11,5.1,60,22.5,1019,0,0,37,clouds
2020.09.12,3.6,53,25.19,1020,0,0,20,clouds
2020.09.13,2.6,54,26.35,1026,0,0,40,clouds
2020.09.14,2.6,51,26.92,1029,0,0,55,clouds
2020.09.15,4.1,51,26.88,1025,0,0,35,clouds
2020.09.16,4.6,51,27.62,1018,0,0,39,clouds
2020.09.17,3.6,68,20.35,1022,0,0,75,clouds
2020.09.18,3.1,32,18.32,1027,0,0,0,clear
2020.09.19,2.6,45,20.35,1023,0,0,52,clouds
2020.09.20,4.1,43,21.18,1018,0,0,35,clouds
2020.09.21,5.1,38,23.5,1018,0,0,31,clouds
2020.09.22,6.2,36,24.97,1015,0,0,32,clouds
2020.09.23,5.1,56,23.44,1008,0,0,40,clouds
2020.09.24,3.1,56,23.73,1009,0,0,40,clouds
2020.09.25,4.1,87,16.18,998,0,0,75,clouds
2020.09.26,5.1,76,10.22,995,0,0,90,clouds
2020.09.27,3.1,66,13.08,1008,0,0,75,clouds
2020.09.28,3.6,87,10.38,1009,{'1h': 0.48},0,75,rain
2020.09.29,3.6,82,12.49,1014,0,0,75,clouds
2020.09.30,6.2,77,15.42,1013,0,0,20,clouds
2020.10.01,3.6,76,14.02,1005,0,0,100,clouds
2020.10.02,7.2,68,18.26,1003,0,0,20,clouds
2020.10.03,11.8,53,22.86,998,0,0,4,clear
2020.10.04,5.7,59,19.66,1003,0,0,40,clouds
2020.10.05,5.7,77,14.56,1005,0,0,90,clouds
2020.10.06,3.6,59,17.58,1011,0,0,20,clouds
2020.10.07,5.1,59,15.88,1012,0,0,40,clouds
2020.10.08,4.6,54,15.48,1021,0,0,40,clouds
2020.10.09,1.5,63,18.38,1021,0,0,20,clouds
2020.10.10,1.5,77,17.16,1017,0,0,20,clouds
2020.10.11,4.6,54,11.39,1018,0,0,40,clouds
2020.10.12,6.7,75,8.11,1015,0,0,75,clouds
2020.10.13,5.7,87,6.52,1007,{'1h': 0.75},0,90,rain
2020.10.14,5.7,93,6.21,1002,{'1h': 0.21},0,90,rain
2020.10.15,1,66,12.82,1013,0,0,20,clouds
2020.10.16,5.1,81,7.41,1012,0,0,90,clouds
2020.10.17,5.7,70,9.01,1014,0,0,40,clouds
2020.10.18,3.1,76,10.94,1020,0,0,40,clouds
2020.10.19,0.45,78,11.48,1023,0,0,71,clouds
2020.10.20,7.7,54,13.14,1022,0,0,12,clouds
