time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status
2020.05.25,4.79,87,8.52,clear
2020.05.26,0.89,68,12.96,rain
2020.05.27,0.45,50,17.23,clouds
2020.05.28,0.89,74,11.12,1026,{'1h': 1.48},0,100,rain
2020.05.29,0.45,59,14.65,1024,0,0,56,clouds
2020.05.30,5.76,61,13.7,1019,0,0,24,clouds
2020.05.31,0.45,84,11.12,1018,0,0,77,clouds
2020.06.01,0.89,52,19.82,1019,0,0,34,clouds
2020.06.02,5.08,66,15.92,1016,{'1h': 0.18},0,55,rain
2020.06.03,0.45,52,21.3,1004,0,0,22,clouds
2020.06.04,0.45,66,19.81,997,{'1h': 0.49},0,100,rain
2020.06.05,0.89,80,13.16,999,0,0,100,clouds
2020.06.06,1.79,68,18.52,1006,{'1h': 0.88},0,78,rain
2020.06.07,0.89,73,19.83,1005,{'1h': 0.41},0,95,rain
2020.06.08,4.3,82,13.34,1013,0,0,99,clouds
2020.06.09,3.73,66,17.79,1012,0,0,88,clouds
2020.06.10,2.74,92,13.34,1009,{'1h': 1.86},0,100,rain
2020.06.11,0.89,69,18.57,1010,0,0,99,clouds
2020.06.12,1.79,63,23.7,1008,0,0,47,clouds
2020.06.13,0.89,60,25.74,1009,{'1h': 1.98},0,65,rain
