time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status
2020.05.25,2.23,91,8.64,clear
2020.05.26,0.89,89,13.17,rain
2020.05.27,4.1,52,18.27,clouds
2020.05.28,3.13,59,18.18,1021,{'1h': 0.29},0,100,rain
2020.05.29,1.34,70,15.4,1021,0,0,58,clouds
2020.05.30,1.34,60,16.11,1018,{'1h': 0.11},0,61,rain
2020.05.31,3.16,90,12.84,1015,{'1h': 0.25},0,100,rain
2020.06.01,7.7,40,20.66,1018,0,0,7,clear
2020.06.02,7.2,42,18.36,1014,0,0,37,clouds
2020.06.03,1.79,51,20.93,1003,0,0,33,clouds
2020.06.04,3.6,46,22.33,998,0,0,20,clouds
2020.06.05,2.6,87,15.84,999,{'1h': 0.25},0,75,rain
2020.06.06,3.13,55,23.89,1005,0,0,9,clear
2020.06.07,2.68,53,26.11,1007,{'1h': 2.14},0,90,rain
2020.06.08,4.1,77,15.95,1012,0,0,75,rain
2020.06.09,4.02,73,19.95,1010,{'1h': 0.29},0,34,rain
2020.06.10,0.89,89,17.45,1007,{'1h': 0.76},0,100,rain
2020.06.11,0.45,60,23.46,1007,0,0,70,clouds
2020.06.12,1.34,69,25.27,1006,{'1h': 0.61},0,41,rain
2020.06.13,0.89,55,30.62,1006,{'1h': 0.62},0,11,rain
2020.06.14,4.92,67,25.47,1005,0,0,22,clouds
2020.06.15,6.7,49,22.58,1012,0,0,59,clouds
2020.06.16,0.45,81,18.41,1011,{'1h': 0.51},0,100,rain
2020.06.17,1.34,78,20.98,1007,{'1h': 0.31},0,100,rain
2020.06.18,1.79,90,18.41,1006,{'1h': 1.61},0,98,rain
2020.06.19,2.24,90,17.37,1010,{'1h': 0.51},0,100,rain
2020.06.20,1.79,90,15.8,1011,{'1h': 1.13},0,100,rain
2020.06.21,0.45,91,18.09,1012,0,0,100,clouds
2020.06.22,0.45,91,18.91,1016,{'1h': 0.25},0,100,rain
2020.06.23,2.68,54,22.09,1019,0,0,0,clear
2020.06.24,5.1,64,20.94,1021,0,0,40,clouds
2020.06.25,0.89,51,25.1,1020,0,0,62,clouds
2020.06.26,1.34,66,24.82,1013,{'1h': 0.73},0,75,rain
2020.06.27,0.89,67,26.18,1012,{'1h': 0.96},0,52,rain
2020.06.28,2.24,55,28.89,1016,0,0,0,clear
2020.06.29,0.89,91,18.48,1010,{'1h': 0.18},0,100,rain
2020.06.30,3.13,60,24.41,1010,0,0,0,clear
2020.07.01,4.6,45,28.05,1012,0,0,0,clear
2020.07.02,0.89,66,27.45,1008,{'1h': 0.43},0,29,rain
2020.07.03,5.63,89,20.96,1013,{'1h': 0.51},0,99,rain
2020.07.04,0.45,49,25.17,1016,0,0,0,clear
2020.07.05,6.2,54,26.69,1015,0,0,2,clear
2020.07.06,6.2,57,27.4,1009,0,0,40,clouds
2020.07.07,0.89,59,18.45,1016,{'1h': 0.22},0,46,rain
2020.07.08,1.34,50,22.68,1014,0,0,66,clouds
2020.07.09,0.45,73,21.97,1016,0,0,100,clouds
2020.07.10,6.7,40,30.0,1013,0,0,17,clouds
2020.07.11,0.89,88,13.33,1018,{'1h': 1.27},0,89,rain
2020.07.12,0.89,55,20.62,1023,{'1h': 0.15},0,4,rain
2020.07.13,0.89,48,20.81,1021,0,0,13,clouds
2020.07.14,2.24,49,22.47,1015,0,0,91,clouds
2020.07.15,5.7,36,23.68,1013,0,0,81,clouds
2020.07.16,2.6,82,19.21,1014,0,0,40,clouds
